ORDERNUMBER	QUANTITYORDERED	
10291	41	
10304	46	
10312	32	
10322	22	
10333	29	
10347	42	
10357	39	
10370	27	
10381	48	
10391	29	
10411	27	
10424	54	
10109	26	
10122	34	
10136	25	
10148	23	
10161	28	
10171	35	
10181	44	
10192	22	
10204	42	
10212	29	
10225	32	
10240	41	Medium
10253	26	
10266	21	
10278	34	
10287	41	
10301	37	Medium
10310	37	
10321	41	
10331	46	
10342	40	
10356	43	
10365	30	
10377	35	
10390	36	
10406	61	
10419	38	
10102	39	
10111	33	
10125	32	
10139	31	
10149	50	
10162	48	
10173	43	
10182	25	
10193	28	
10205	36	
10215	27	
10227	25	Small
10244	40	
10256	34	
10280	50	
10289	38	
10304	37	
10312	43	
10322	43	
10332	46	
10346	42	
10356	50	
10369	44	
10380	27	
10391	35	
10422	51	
10102	41	
10111	48	
10126	42	Small
10139	49	
10149	30	
10162	45	
10173	48	
10182	32	
10193	46	
10205	48	
10215	33	
10227	31	Small
10244	20	
10256	29	
10280	27	
10289	24	
10304	37	
10312	25	
10322	41	
10332	27	
10347	21	
10356	22	
10369	32	
10381	25	
10391	42	
10422	25	
10110	37	
10123	26	
10137	44	
10148	47	
10161	43	
10172	42	
10181	42	
10192	29	
10204	40	
10212	38	
10226	38	
10241	21	
10253	24	
10266	36	
10278	23	
10288	20	
10301	32	Medium
10311	29	
10321	44	
10331	44	
10343	36	
10367	49	
10378	34	
10407	59	
10419	37	
10106	36	
10119	43	
10131	21	
10143	32	
10155	38	
10167	43	
10178	42	
10186	32	
10198	42	
10210	31	Medium
10222	49	
10250	45	
10262	49	
10274	41	
10284	45	Medium
10296	36	
10307	39	
10316	27	
10327	25	
10338	41	
10351	39	
10373	28	
10386	25	
10398	33	
10400	34	
10416	24	
10100	30	
10110	42	
10124	21	
10149	34	
10162	29	
10173	24	
10182	44	
10193	21	
10204	33	
10214	30	Medium
10227	26	Medium
10241	41	
10280	26	
10288	32	
10302	43	
10312	48	
10331	44	
10344	45	
10367	37	
10379	39	
10407	76	
10420	37	
10108	38	
10122	43	
10135	48	
10147	26	
10160	38	
10170	20	
10181	22	
10192	45	
10203	45	
10212	20	
10225	47	
10239	46	
10253	23	
10266	33	
10278	29	
10287	44	
10300	41	
10310	20	
10321	37	
10329	29	
10342	55	
10363	22	
10377	31	
10389	49	
10405	61	
10419	39	
10109	38	
10122	31	
10136	36	
10148	25	
10161	48	
10171	35	
10181	21	
10192	47	
10204	38	
10212	41	
10226	24	
10240	37	Medium
10253	33	
10266	49	
10278	29	
10287	24	
10301	47	Large
10310	24	
10321	25	
10331	30	
10342	22	
10356	27	
10366	34	
10377	36	
10390	34	
10406	48	
10419	34	
10104	24	
10115	46	
10127	45	
10141	39	
10151	43	
10165	29	Medium
10176	20	
10184	46	Large
10195	27	
10207	44	
10219	43	
10230	49	
10246	40	
10259	30	
10271	50	
10282	23	
10292	26	
10305	27	
10314	42	
10324	47	
10336	49	Large
10349	38	
10358	20	
10371	25	
10382	25	
10412	41	
10425	28	
10100	50	
10110	32	
10124	42	
10149	24	
10162	27	
10173	26	
10182	38	
10193	42	
10204	23	
10214	21	Small
10227	28	Small
10241	33	
10280	25	
10288	28	
10303	46	Small
10312	30	
10332	38	
10344	40	
10367	45	
10379	27	
10407	42	
10420	36	
10104	29	
10114	39	Medium
10127	45	
10141	47	
10151	49	
10165	46	Medium
10175	48	
10184	46	Medium
10195	35	
10207	43	
10229	26	
10246	22	
10259	34	
10271	50	
10281	48	
10292	41	
10305	36	
10313	29	
10324	33	
10334	46	
10349	38	
10358	20	
10370	22	
10383	27	
10412	56	
10425	38	
10101	25	
10110	33	
10124	42	
10149	33	
10162	38	
10173	31	
10182	20	
10193	44	
10204	26	
10214	27	Medium
10227	46	Large
10243	47	
10280	37	
10288	31	
10304	24	
10312	31	
10322	50	
10332	35	
10344	30	
10356	29	
10367	27	
10380	40	
10390	31	
10409	6	
10420	45	
10103	22	
10114	45	Medium
10126	43	Small
10140	46	
10151	39	
10165	31	Small
10175	41	
10184	44	Small
10194	45	Medium
10207	37	
10217	35	
10229	28	
10246	30	
10259	30	
10271	25	
10281	29	
10291	26	
10305	41	
10313	34	
10322	35	
10334	34	
10347	50	
10357	41	
10370	22	
10381	35	
10391	44	
10412	47	
10425	19	
10106	34	
10120	29	
10133	49	
10145	30	
10168	21	
10210	50	Medium
10223	47	
10235	24	
10250	27	
10263	33	
10275	35	
10284	31	Small
10297	25	
10308	27	
10318	31	
10327	45	
10339	27	
10353	27	
10374	42	
10386	21	
10398	34	
10401	42	
10416	15	
10107	29	
10120	46	
10134	30	
10145	30	
10159	42	
10168	46	
10180	25	
10188	32	
10201	30	
10210	40	Small
10223	28	
10236	23	
10251	29	
10263	34	
10275	37	
10285	20	
10298	32	
10308	34	
10318	42	
10329	38	
10339	30	
10362	23	
10374	22	
10389	39	
10402	55	
10417	36	
10101	26	
10110	31	
10125	34	
10139	41	
10149	23	
10162	48	
10173	22	
10182	21	
10193	22	
10205	40	
10214	50	Large
10227	29	Medium
10244	43	
10255	24	
10280	22	
10289	43	
10304	20	
10312	25	
10322	36	
10332	24	
10347	21	
10356	30	
10367	32	
10380	21	
10390	26	
10421	35	
10109	26	
10123	46	
10137	37	
10148	27	
10161	23	
10172	39	
10181	27	
10192	38	
10204	27	
10212	40	
10226	24	
10241	44	
10253	37	
10266	20	
10278	39	
10287	44	
10301	22	Medium
10311	43	
10321	27	
10331	26	
10343	25	
10366	49	
10379	29	
10407	41	
10419	55	
10103	27	
10112	23	
10126	31	Small
10139	46	
10150	47	Medium
10163	31	
10174	46	
10183	37	
10193	28	
10206	37	
10215	49	
10228	24	
10244	30	
10257	50	
10270	31	
10280	46	
10291	47	
10304	46	
10312	37	
10322	33	
10333	31	
10347	48	
10357	41	
10369	42	
10381	41	
10391	32	
10423	10	
10103	35	
10111	28	
10126	46	Medium
10139	20	
10150	30	Small
10163	48	
10173	28	
10183	39	
10193	24	
10206	28	
10215	31	
10228	45	
10244	24	
10257	49	
10269	32	
10280	43	
10291	37	
10304	24	
10312	35	
10322	41	
10332	26	
10347	34	
10357	49	
10369	28	
10381	40	
10392	37	
10423	31	
10106	41	
10119	21	
10130	40	
10143	46	
10155	44	
10167	46	
10178	41	
10186	32	
10197	46	
10209	28	
10222	49	
10248	21	
10262	32	
10273	34	
10283	21	
10296	21	
10307	31	
10316	21	
10327	25	
10338	28	
10350	43	
10373	22	
10386	37	
10398	28	
10400	30	
10414	44	
10103	25	
10111	43	
10126	30	Small
10139	20	
10150	26	Small
10163	40	
10173	31	
10183	22	
10193	23	
10206	30	
10215	49	
10228	31	
10244	29	
10257	37	
10270	38	
10280	29	
10291	23	
10304	26	
10312	38	
10322	48	
10332	40	
10347	45	
10357	44	
10369	21	
10381	35	
10392	29	
10423	21	
10105	22	
10117	26	Medium
10128	41	
10142	47	
10153	31	
10166	43	
10177	23	
10185	28	
10196	49	
10208	24	Small
10221	33	
10232	22	
10248	32	
10273	40	
10282	43	
10293	24	
10306	32	
10314	20	
10325	24	
10336	48	Medium
10350	44	
10372	28	
10383	24	
10396	33	
10414	41	
10104	23	
10109	46	
10114	48	Large
10122	25	
10127	22	
10136	41	
10141	34	
10148	32	
10151	21	
10160	20	
10165	47	Large
10171	39	
10175	29	
10181	45	
10184	28	Medium
10192	26	
10195	50	
10203	48	
10207	25	
10212	40	
10225	43	
10229	22	
10239	47	
10246	36	
10253	40	
10259	27	
10266	29	
10271	20	
10278	42	
10281	25	
10287	36	
10292	21	
10301	23	Medium
10305	37	
10310	48	
10313	25	
10321	33	
10324	27	
10331	27	
10334	20	
10342	30	
10349	48	
10358	32	
10366	34	
10370	27	
10377	39	
10383	47	
10394	22	
10405	55	
10412	60	
10419	35	
10425	28	
10105	38	
10117	21	Small
10128	41	
10142	22	
10153	29	
10165	50	Medium
10177	29	
10185	49	
10196	35	
10208	48	Medium
10221	23	
10232	48	
10248	42	
10273	47	
10282	36	
10293	22	
10306	40	
10314	23	
10326	32	
10336	21	Small
10350	41	
10372	25	
10383	26	
10396	24	
10414	48	
10108	26	
10122	21	
10135	45	
10147	36	
10159	21	
10169	32	
10181	30	
10191	36	
10203	33	
10211	35	
10225	37	
10238	41	
10252	20	
10265	45	
10276	38	
10287	43	
10300	49	
10310	27	
10319	46	
10329	38	
10342	25	
10363	46	
10378	22	
10390	40	
10103	46	
10111	39	
10126	38	Medium
10139	30	
10149	42	
10163	43	
10173	29	
10182	33	
10193	32	
10206	28	
10215	41	
10227	33	Medium
10244	36	
10257	26	
10280	34	
10290	26	
10304	38	
10312	33	
10323	33	
10333	46	
10347	26	
10357	25	
10369	45	
10382	50	
10392	36	
10423	21	
10108	29	
10122	21	
10135	42	
10147	37	
10159	25	
10169	36	
10181	22	
10191	23	
10203	32	
10211	28	
10225	27	
10238	49	
10252	41	
10265	49	
10276	30	
10287	40	
10300	23	
10310	49	
10320	25	
10330	37	
10342	55	
10355	23	
10363	24	
10378	43	
10390	50	
10109	47	
10123	34	
10137	31	
10148	28	
10161	36	
10172	48	
10181	39	
10192	45	
10204	35	
10212	45	
10226	46	
10240	37	Medium
10253	31	
10266	33	
10278	31	
10287	27	
10301	39	Medium
10311	32	
10321	28	
10331	26	
10343	44	
10367	46	
10379	32	
10406	65	
10419	43	
10108	43	
10122	35	
10135	45	
10146	47	
10159	21	
10169	38	
10180	21	
10191	43	
10211	46	
10224	38	
10237	26	
10252	31	
10264	48	
10276	33	
10286	38	Small
10299	39	
10310	42	
10319	44	
10330	29	
10342	26	
10355	31	
10363	32	
10378	28	
10390	36	
10403	36	
10106	41	
10119	27	
10130	33	
10143	34	
10155	29	
10167	34	
10178	48	
10186	46	
10197	22	
10209	20	
10222	45	
10249	46	
10262	34	
10273	50	
10283	46	
10296	22	
10307	48	
10316	47	
10328	34	
10338	45	
10351	20	
10373	50	
10386	22	
10398	45	
10400	58	
10415	51	
10104	38	
10117	22	Small
10127	25	
10142	24	
10152	35	
10165	28	Medium
10176	36	
10185	39	
10196	27	
10207	40	
10220	50	
10230	42	
10247	48	
10272	25	
10282	31	
10292	44	
10306	23	
10314	29	
10324	49	
10337	36	
10349	34	
10358	25	
10372	48	
10383	38	
10394	37	
10413	49	
10100	22	
10110	28	
10124	36	
10148	34	
10162	39	
10173	21	
10182	36	
10193	24	
10204	29	
10213	38	
10227	34	Medium
10241	42	
10280	35	
10288	35	
10302	38	
10311	41	
10332	50	
10344	21	
10367	43	
10380	32	
10407	6	
10420	66	
10105	41	
10117	23	Small
10128	43	
10142	24	
10153	22	
10166	26	
10177	35	
10185	47	
10197	50	
10208	45	Medium
10221	39	
10232	23	
10248	42	
10261	20	
10273	33	
10283	34	
10293	49	
10306	39	
10315	36	
10326	50	
10337	29	
10350	30	
10372	41	
10383	28	
10396	45	
10414	16	
10103	36	
10114	41	Medium
10126	50	Large
10140	40	
10150	49	Medium
10164	45	
10175	47	
10183	21	
10194	32	Medium
10207	47	
10217	38	
10229	41	
10245	21	
10259	41	
10270	38	
10281	25	
10291	48	
10305	22	
10313	28	
10323	47	
10334	49	
10347	45	
10357	28	
10370	29	
10382	39	
10411	46	
10425	38	
10103	41	
10113	50	
10126	43	Small
10140	29	
10150	30	Small
10164	25	
10174	49	
10183	40	
10194	41	Small
10206	21	
10215	46	
10229	39	
10245	45	
10258	21	
10270	44	
10281	44	
10291	29	
10304	34	
10312	39	
10324	38	
10333	24	
10348	29	Large
10358	30	
10370	20	
10382	39	
10411	35	
10424	26	
10108	44	
10122	28	
10135	31	
10146	29	
10159	32	
10169	33	
10180	44	
10191	32	
10211	41	
10225	35	
10238	44	
10252	26	
10264	20	
10276	48	
10287	34	
10299	49	
10310	40	
10319	45	
10330	50	
10342	38	
10355	25	
10363	28	
10378	49	
10390	49	
10110	42	
10124	23	
10148	29	
10161	25	
10173	39	
10182	44	
10193	25	
10204	45	
10213	25	
10227	37	Small
10241	30	
10267	36	
10279	26	
10288	23	
10302	23	
10311	25	
10332	21	
10344	26	
10367	44	
10380	24	
10407	66	
10420	36	
10110	36	
10124	22	
10148	25	
10161	37	
10172	32	
10182	47	
10192	37	
10204	20	
10212	41	
10226	21	
10241	22	
10267	40	
10279	32	
10288	36	
10301	27	Small
10311	26	
10321	30	
10332	23	
10344	29	
10367	21	
10380	34	
10407	26	
10420	60	
10104	35	
10115	47	
10127	20	
10141	20	
10152	25	
10165	25	Small
10176	27	
10184	31	Small
10195	44	
10207	49	
10220	26	
10230	36	
10246	44	
10259	28	
10271	45	
10282	29	
10292	40	
10305	45	
10314	44	
10324	25	
10336	45	Medium
10349	48	
10358	44	
10371	25	
10383	22	
10394	31	
10412	21	
10425	55	
10107	25	
10120	35	
10134	35	
10145	43	
10159	44	
10168	50	
10180	48	
10188	25	
10201	39	
10211	25	
10223	32	
10237	20	
10251	26	
10263	42	
10275	21	
10285	34	
10299	47	
10309	21	
10318	48	
10329	30	
10339	27	
10362	50	
10374	38	
10389	45	
10403	46	
10417	35	
10110	29	
10123	50	
10137	26	
10148	47	
10161	23	
10172	34	
10181	34	
10192	47	
10204	45	
10212	45	
10226	36	
10241	21	
10266	28	
10278	35	
10288	50	
10301	22	Small
10311	45	
10321	48	
10332	20	
10343	27	
10367	38	
10379	32	
10407	64	
10420	37	
10106	28	
10120	39	
10133	41	
10145	40	
10168	49	
10210	27	Small
10223	34	
10235	23	
10250	31	
10262	34	
10275	25	
10284	22	Small
10297	32	
10308	31	
10316	25	
10328	47	
10339	21	
10353	28	
10374	46	
10386	33	
10398	43	
10401	38	
10416	47	
10101	45	
10110	20	
10124	45	
10149	36	
10162	37	
10173	31	
10182	39	
10193	26	
10205	32	
10214	20	Small
10227	42	Small
10243	33	
10280	20	
10288	29	
10304	23	
10312	39	
10322	20	
10332	45	
10344	20	
10356	48	
10367	23	
10380	32	
10391	33	
10409	61	
10420	45	
10107	38	
10120	34	
10134	43	
10145	47	
10158	22	
10168	29	
10180	28	
10188	40	
10201	25	
10210	30	Small
10223	38	
10236	36	
10250	32	
10263	37	
10275	30	
10285	39	
10297	32	
10308	47	
10318	26	
10329	37	
10340	55	
10363	21	
10375	23	
10389	49	
10402	59	
10416	32	
10105	43	
10117	41	Medium
10129	45	
10142	33	
10153	40	
10167	33	
10177	50	
10185	30	
10197	41	
10208	35	Medium
10221	49	
10232	46	
10248	48	
10261	36	
10273	22	
10283	42	
10293	21	
10306	29	
10315	35	
10326	41	
10337	29	
10350	34	
10372	37	
10384	28	
10396	49	
10414	23	
10101	46	
10110	39	
10124	22	
10149	49	
10162	43	
10173	27	
10182	31	
10193	20	
10205	24	
10214	49	Small
10227	24	Small
10244	39	
10255	37	
10280	45	
10289	45	
10304	44	
10312	23	
10322	30	
10332	26	
10345	43	
10356	26	
10367	28	
10380	27	
10391	24	
10421	40	
10103	36	
10114	21	Small
10126	27	Medium
10140	47	
10151	42	
10165	32	Medium
10175	28	
10184	24	Medium
10194	49	Medium
10207	46	
10217	28	
10229	48	
10246	29	
10259	47	
10271	43	
10281	25	
10291	48	
10305	24	
10313	42	
10324	31	
10334	42	
10348	37	Medium
10358	41	
10371	20	
10382	20	
10412	70	
10425	49	
10108	35	
10121	32	
10135	29	
10145	27	
10159	27	
10169	38	
10180	35	
10190	42	
10211	21	
10224	37	
10237	26	
10252	47	
10264	37	
10276	46	
10285	38	
10299	33	
10309	24	
10319	31	
10330	42	
10341	32	
10355	41	
10363	43	
10375	20	
10390	35	
10403	27	
10110	43	
10124	32	
10148	21	
10161	20	
10172	22	
10182	36	
10192	46	
10204	47	
10212	45	
10227	47	Medium
10241	47	
10267	38	
10279	49	
10288	35	
10302	49	
10311	28	
10321	30	
10332	39	
10346	25	
10368	40	
10380	36	
10407	76	
10420	39	
10104	44	
10114	24	Small
10127	39	
10141	21	
10151	30	
10165	27	Small
10175	37	
10184	42	Small
10195	32	
10207	42	
10219	21	
10229	33	
10246	49	
10259	31	
10271	38	
10281	20	
10292	39	
10305	48	
10314	39	
10324	30	
10335	33	
10349	36	
10358	36	
10371	45	
10383	40	
10394	46	
10412	30	
10425	31	
10106	49	
10119	41	
10131	35	
10143	27	
10155	23	
10167	21	
10178	34	
10186	22	
10198	48	
10209	43	
10222	32	
10249	20	
10262	24	
10274	40	
10284	30	Small
10296	21	
10307	25	
10316	34	
10328	48	
10339	55	
10351	25	
10373	38	
10386	39	
10398	28	
10400	24	
10415	21	
10110	46	
10124	25	
10148	34	
10161	25	
10173	23	
10182	20	
10192	23	
10204	42	
10213	27	
10227	33	Medium
10241	28	
10267	43	
10279	48	
10288	48	
10302	45	
10311	43	
10332	44	
10346	24	
10368	31	
10380	44	
10407	59	
10420	55	
10109	29	
10122	39	
10135	20	
10147	25	
10160	42	
10171	36	
10181	37	
10192	30	
10203	21	
10212	34	
10225	42	
10239	20	
10253	40	
10266	34	
10278	31	
10287	36	
10301	48	Small
10310	33	
10321	37	
10331	27	
10342	39	
10355	36	
10367	36	
10378	41	
10390	37	
10405	47	
10419	15	
10105	44	
10119	35	
10129	41	
10142	49	
10154	31	
10167	20	
10177	45	
10185	33	
10197	47	
10208	20	Small
10222	47	
10233	40	
10248	30	
10261	22	
10273	27	
10283	34	
10295	46	
10306	31	
10315	24	
10326	41	
10339	55	
10350	30	
10373	33	
10384	43	
10396	27	
10414	60	
10110	27	
10124	49	
10148	31	
10161	20	
10172	24	
10182	33	
10192	32	
10204	40	
10212	27	
10227	40	Medium
10241	26	
10267	44	
10279	33	
10288	34	
10302	48	
10311	25	
10321	39	
10332	45	
10346	24	
10368	46	
10380	44	
10407	13	
10420	35	
10108	30	
10122	34	
10135	27	
10147	30	
10159	50	
10169	34	
10181	23	
10191	48	
10203	34	
10211	48	
10225	24	
10238	47	
10253	24	
10266	47	
10276	20	
10287	20	
10300	31	
10310	38	
10320	26	
10331	25	
10342	48	
10355	44	
10363	21	
10378	46	
10390	46	
10419	55	
10106	31	
10119	20	
10131	29	
10143	33	
10155	34	
10167	32	
10178	27	
10186	21	
10198	27	
10209	36	
10222	43	
10249	25	
10262	46	
10274	24	
10284	39	Small
10296	31	
10307	22	
10316	47	
10328	20	
10339	29	
10351	38	
10361	34	
10373	46	
10386	35	
10398	34	
10400	38	
10415	18	
10110	37	
10124	43	
10148	27	
10161	30	
10172	22	
10182	49	
10192	46	
10204	48	
10212	46	
10226	48	
10241	27	
10267	43	
10279	48	
10288	41	
10301	22	Small
10311	46	
10321	21	
10332	31	
10346	26	
10368	20	
10380	34	
10407	43	
10420	26	
10105	50	
10119	35	
10129	50	
10143	23	
10155	37	
10167	29	
10178	21	
10186	36	
10197	22	
10209	22	
10222	46	
10248	23	
10262	49	
10273	48	
10283	33	
10296	22	
10307	22	
10316	25	
10326	20	
10339	42	
10350	25	
10373	23	
10385	37	
10396	37	
10400	42	
10414	51	
10108	40	
10122	43	
10135	47	
10147	23	
10160	35	
10170	34	
10181	25	
10192	45	
10203	47	
10212	49	
10225	40	
10239	29	
10253	39	
10266	24	
10278	25	
10287	36	
10301	50	Large
10310	45	
10321	26	
10331	21	
10342	42	
10355	32	
10363	31	
10378	33	
10390	45	
10405	76	
10419	70	
10106	50	
10119	28	
10131	50	
10143	28	
10155	44	
10168	27	
10178	30	
10198	43	
10210	29	Small
10222	48	
10235	33	
10250	40	
10262	48	
10275	41	
10284	21	Small
10296	32	
10308	43	
10316	30	
10328	35	
10339	45	
10351	34	
10361	26	
10373	39	
10386	41	
10398	41	
10401	64	
10416	18	
10100	49	
10110	48	
10124	46	
10149	26	
10162	37	
10173	35	
10182	23	
10193	22	
10204	39	
10214	44	Small
10227	27	Small
10242	46	
10280	33	
10288	33	
10303	24	Small
10312	31	
10332	41	
10346	22	
10368	46	
10380	43	
10408	15	
10420	15	
10104	26	
10115	44	
10127	20	
10141	40	
10152	23	
10165	24	Small
10176	29	
10184	49	Medium
10195	34	
10207	28	
10220	37	
10230	45	
10246	46	
10271	22	
10282	39	
10292	27	
10305	36	
10314	38	
10325	44	
10336	31	Medium
10349	23	
10359	22	
10371	28	
10383	21	
10394	37	
10412	31	
10103	25	
10111	26	
10126	34	Medium
10139	29	
10149	20	
10163	42	
10173	22	
10183	47	
10193	20	
10206	33	
10215	39	
10228	33	
10244	40	
10257	46	
10269	48	
10280	21	
10290	45	
10304	33	
10312	44	
10324	33	
10333	39	
10348	39	Small
10358	41	
10369	40	
10382	33	
10423	28	
10106	26	
10120	29	
10133	46	
10145	33	
10168	48	
10210	40	Small
10223	23	
10235	40	
10250	37	
10263	24	
10275	27	
10284	21	Small
10297	23	
10308	44	
10317	35	
10328	43	
10340	40	
10353	35	
10361	25	
10375	43	
10386	50	
10398	45	
10401	52	
10416	48	
10108	31	
10122	29	
10135	23	
10147	31	
10159	23	
10169	24	
10180	28	
10191	44	
10211	22	
10225	46	
10238	22	
10252	38	
10264	47	
10276	48	
10287	40	
10299	32	
10310	49	
10319	43	
10331	41	
10343	30	
10355	28	
10363	43	
10378	41	
10390	30	
10103	31	
10114	32	Medium
10126	43	Medium
10140	26	
10151	27	
10164	24	
10175	22	
10184	46	Medium
10194	37	Medium
10207	49	
10217	21	
10229	25	
10245	37	
10259	45	
10270	32	
10281	29	
10291	26	
10305	28	
10313	27	
10324	20	
10335	44	
10348	42	Medium
10358	41	
10371	26	
10382	26	
10411	26	
10425	41	
10107	20	
10120	22	
10133	23	
10145	33	
10168	28	
10188	44	
10210	46	Medium
10223	21	
10235	41	
10250	31	
10263	31	
10275	23	
10285	37	
10297	26	
10308	24	
10318	47	
10329	45	
10340	55	
10353	46	
10363	50	
10375	37	
10387	44	Medium
10401	49	
10416	45	
10108	27	
10122	31	
10135	33	
10145	31	
10159	35	
10169	26	
10180	34	
10190	46	
10211	41	
10224	43	
10237	26	
10252	36	
10264	20	
10276	27	
10285	37	
10299	24	
10310	36	
10319	29	
10331	28	
10343	29	
10355	38	
10364	48	
10378	40	
10390	41	
10403	30	
10104	35	
10114	28	Small
10127	45	
10141	24	
10151	41	
10165	48	Small
10175	50	
10184	33	Small
10195	32	
10207	27	
10219	35	
10229	23	
10246	35	
10259	40	
10271	35	
10281	31	
10292	50	
10305	40	
10313	38	
10325	38	
10335	40	
10349	33	
10359	36	
10371	20	
10383	32	
10394	36	
10412	19	
10425	11	
10104	49	
10116	27	
10127	29	
10142	42	
10152	33	
10165	44	Small
10176	22	
10184	48	Small
10195	33	
